Name,AppointedbyPresident
HLBlack,"Roosevelt, F."
SFReed,"Roosevelt, F."
FFrankfurter,"Roosevelt, F."
WODouglas,"Roosevelt, F."
FMurphy,"Roosevelt, F."
JFByrnes,"Roosevelt, F."
RHJackson,"Roosevelt, F."
WBRutledge,"Roosevelt, F."
HHBurton,Truman
TCClark,Truman
FMVinson,Truman
SMinton,Truman
JHarlan2,Eisenhower
WJBrennan,Eisenhower
CEWhittaker,Eisenhower
PStewart,Eisenhower
EWarren,Eisenhower
BRWhite,Kennedy
AJGoldberg,Kennedy
AFortas,Johnson
TMarshall,Johnson
WEBurger,Nixon
HABlackmun,Nixon
LFPowell,Nixon
WHRehnquist,Nixon
JPStevens,Ford
SDOConnor,Reagan
AScalia,Reagan
AMKennedy,Reagan
DHSouter,"Bush, G. H. W."
CThomas,"Bush, G. H. W."
RBGinsburg,Clinton
SGBreyer,Clinton
SAAlito,"Bush, G. W."
JGRoberts,"Bush, G. W."
SSotomayor,Obama
EKagan,Obama
NMGorsuch,Trump
BMKavanaugh,Trump
