,term,Justices
0,1946,
1,1947,
2,1948,
3,1949,
4,1950,
5,1951,
6,1952,
7,1953,
8,1954,
9,1955,
10,1956,
11,1957,
12,1958,
13,1959,
14,1960,
15,1961,
16,1962,
17,1963,
18,1964,
19,1965,
20,1966,
21,1967,
22,1968,
23,1969,
24,1970,
25,1971,
26,1972,
27,1973,
28,1974,
29,1975,
30,1976,
31,1977,
32,1978,
33,1979,
34,1980,
35,1981,
36,1982,
37,1983,
38,1984,
39,1985,
40,1986,
41,1987,
42,1988,
43,1989,
44,1990,
45,1991,
46,1992,
47,1993,
48,1994,
49,1995,
50,1996,
51,1997,
52,1998,
53,1999,
54,2000,
55,2001,
56,2002,
57,2003,
58,2004,
59,2005,
60,2006,
61,2007,
62,2008,
63,2009,
64,2010,
65,2011,
66,2012,
67,2013,
68,2014,
69,2015,
70,2016,
71,2017,
72,2018,
